Model,Accuracy,Precision,Recall,F1,ROC_AUC
CatBoost,0.9188447624080321,0.4653846153846154,0.030440251572327045,0.05714285714285714,0.7438865051529718
LightGBM,0.9191699524409577,0.4928571428571429,0.017358490566037735,0.033535844471445926,0.7427547383965136
XGBoost,0.9186008698833381,0.4460431654676259,0.03119496855345912,0.05831177992005643,0.7370877194885396
Random Forest,0.8774440063412057,0.185105730922464,0.1519496855345912,0.16689693285437968,0.6642770327125516
